title,Journal.URL,URL.in.DOAJ,When.did.the.journal.start.to.publish.all.content.using.an.open.license.,Alternative.title,Journal.ISSN..print.version.,Journal.EISSN..online.version.,Keywords,language,Publisher,country,Society.or.institution,Country.of.society.or.institution,license,License.attributes,URL.for.license.terms,Machine.readable.CC.licensing.information.embedded.or.displayed.in.articles,URL.to.an.example.page.with.embedded.licensing.information,Author.holds.copyright.without.restrictions,Copyright.information.URL,Review,Review.process.information.URL,Journal.plagiarism.screening.policy,Plagiarism.information.URL,URL.for.journal.s.aims...scope,URL.for.the.Editorial.Board.page,URL.for.journal.s.instructions.for.authors,Average.number.of.weeks.between.article.submission.and.publication,APC,APC.information.URL,APC.amount,Journal.waiver.policy..for.developing.country.authors.etc.,Waiver.policy.information.URL,Has.other.fees,Other.fees.information.URL,Preservation.Services,Preservation.Service..national.library,Preservation.information.URL,Deposit.policy.directory,URL.for.deposit.policy,Persistent.article.identifiers,Article.metadata.includes.ORCIDs,Journal.complies.with.I4OC.standards.for.open.citations,Does.the.journal.comply.to.DOAJ.s.definition.of.open.access.,URL.for.journal.s.Open.Access.statement,Continues,Continued.By,LCC.Codes,Subjects,DOAJ.Seal,Added.on.Date,Last.updated.Date,Number.of.Article.Records,Most.Recent.Article.Added
Dyna,http://dyna.medellin.unal.edu.co/es/index.php,https://doaj.org/toc/1ae4d1db9bf2408f88a0e67ca32fc92e,2002,,0012-7353,2346-2183,"mining engineering, mineral industries, material engineering, civil engineering, electrical engineering","Spanish, English ",Universidad Nacional de Colombia,Colombia,"Universidad Nacional de Colombia, Facultad de Minas",,CC BY-NC-ND,,http://dyna.medellin.unal.edu.co/es/index.php,,,No,,Double blind peer review,http://dyna.medellin.unal.edu.co/es/procesoArbitraje.php,Yes,http://dyna.medellin.unal.edu.co/es/ediciones/185/editorial/Editorial185.pdf,http://dyna.medellin.unal.edu.co/es/planeacionEstrategica.php,http://dyna.medellin.unal.edu.co/en/comiteEditorial.php,http://dyna.medellin.unal.edu.co/es/instruccionesAutores.php,24,No,http://dyna.medellin.unal.edu.co/es/instruccionesAutores.php,,No,,No,http://dyna.medellin.unal.edu.co/es/instruccionesAutores.php,,,http:// http://dyna.medellin.unal.edu.co/en/index.php,Sherpa/Romeo,,DOI,,,Yes,http://dyna.medellin.unal.edu.co/en/index.php,,,T|TN1-997,Technology: Mining engineering. Metallurgy,No,2006-05-22T13:41:07Z,2017-11-16T19:39:10Z,2008,2020-01-17T17:07:28Z
Revista Colombiana de Obstetricia y Ginecología,https://revista.fecolsog.org/index.php/rcog,https://doaj.org/toc/cb02e50afc4c4853a80a07fceb6f2154,2002,,0034-7434,2463-0225,"gynecology, obstetrics, health, public health, gender identity, women's health","Spanish, English",Federación Colombiana de Obstetricia y Ginecología,Colombia,Federación Colombiana de Obstetricia y Ginecología,,CC BY-NC-ND,,https://revista.fecolsog.org/index.php/rcog/about#open-access-policy,,,No,,Double blind peer review,https://revista.fecolsog.org/index.php/rcog/about#peer-review,Yes,https://revista.fecolsog.org/index.php/rcog/about#plagio,https://revista.fecolsog.org/index.php/rcog/about#focus-scope,https://revista.fecolsog.org/index.php/rcog/about/editorialTeam,https://revista.fecolsog.org/index.php/rcog/about/submissions,20,No,https://revista.fecolsog.org/index.php/rcog/about#gastos,,No,,No,,Portico,,https://revista.fecolsog.org/index.php/rcog/about#preservation,,,,,,Yes,https://revista.fecolsog.org/index.php/rcog/about#acceso,,,RG1-991,Medicine: Gynecology and obstetrics,No,2019-12-03T16:37:51Z,2022-08-11T12:13:14Z,3656,2023-03-18T09:35:34Z
Revista Universitas Medica,https://revistas.javeriana.edu.co/index.php/vnimedica/index,https://doaj.org/toc/0fac030a2a0d4fffaea6a59ee222190f,2010,,0041-9095,2011-0839,"medicine, health",Spanish,Pontificia Universidad Javeriana,Colombia,Pontificia Universidad Javeriana,,CC BY,,https://revistas.javeriana.edu.co/index.php/vnimedica/about/submissions,,,Yes,https://revistas.javeriana.edu.co/index.php/vnimedica/about/submissions,Double blind peer review,https://revistas.javeriana.edu.co/index.php/vnimedica/peer-review,Yes,https://revistas.javeriana.edu.co/index.php/vnimedica/editorialprocess,https://revistas.javeriana.edu.co/index.php/vnimedica/about,https://revistas.javeriana.edu.co/index.php/vnimedica/about/editorialTeam,https://revistas.javeriana.edu.co/index.php/vnimedica/about/submissions,30,No,https://revistas.javeriana.edu.co/index.php/vnimedica/about,,No,,No,https://revistas.javeriana.edu.co/index.php/vnimedica/about,,,,Sherpa/Romeo,,,,,Yes,https://revistas.javeriana.edu.co/index.php/vnimedica/about,,,R,Medicine,No,2019-03-26T03:12:19Z,2019-10-03T23:21:29Z,614,2019-09-12T22:11:43Z
Revista de la Facultad de Medicina,http://revistas.unal.edu.co/index.php/revfacmed/index,https://doaj.org/toc/05262adca6cc4bd1bcbbc739c0207e0d,1932,Revista de la Facultad de Medicina de la Universidad Nacional de Colombia,0120-0011,2357-3848,"medicine, education, medical sciences, public health","Spanish, English, Portuguese",Universidad Nacional de Colombia,Colombia,,,CC BY,,http://revistas.unal.edu.co/index.php/revfacmed/about/submissions#copyrightNotice,,,Yes,http://revistas.unal.edu.co/index.php/revfacmed/about/submissions#copyrightNotice,Peer review,http://revistas.unal.edu.co/index.php/revfacmed/about/editorialPolicies#peerReviewProcess,Yes,http://revistas.unal.edu.co/index.php/revfacmed/about/submissions#authorGuidelines,http://revistas.unal.edu.co/index.php/revfacmed/about/editorialPolicies#focusAndScope,http://revistas.unal.edu.co/index.php/revfacmed/about/editorialTeam,https://revistas.unal.edu.co/index.php/revfacmed/about/submissions#authorGuidelines,24,No,http://revistas.unal.edu.co/index.php/revfacmed/about/editorialPolicies#focusAndScope,,No,,No,,,,,,,DOI,No,No,Yes,http://revistas.unal.edu.co/index.php/revfacmed/about/editorialPolicies#openAccessPolicy,,,R|R5-920,Medicine: Medicine (General),No,2006-09-29T11:54:57Z,2022-09-19T11:21:53Z,3525,2020-01-17T16:57:51Z
Ideas y Valores,http://revistas.unal.edu.co/index.php/idval,https://doaj.org/toc/03cbd6ea94be4c8c93ea1ed305fdf4a2,1951,Ideas y Valores: Revista Colombiana de Filosofía,0120-0062,2011-3668,"history of philosophy, philosophy, latin american philosophy, colombia","Spanish, English, Portuguese",Universidad Nacional de Colombia,Colombia,"Universidad Nacional de Colombia, Facultad de Filosofia Letras",,CC BY-NC-ND,,http://www.revistas.unal.edu.co/index.php/idval/information/librarians,,,Yes,http://www.revistas.unal.edu.co/index.php/idval/about/editorialPolicies#openAccessPolicy,Editorial review,http://www.revistas.unal.edu.co/index.php/idval/information/authors,Yes,http://www.revistas.unal.edu.co/index.php/idval/information/authors,http://www.revistas.unal.edu.co/index.php/idval/information/readers,http://www.revistas.unal.edu.co/index.php/idval/about/editorialTeam,http://www.revistas.unal.edu.co/index.php/idval/information/authors,53,No,http://www.revistas.unal.edu.co/index.php/idval/about/editorialPolicies#focusAndScope,,No,,No,,,,,,,,,,Yes,http://www.revistas.unal.edu.co/index.php/idval/about/editorialPolicies#openAccessPolicy,,,B|B1-5802,Philosophy. Psychology. Religion: Philosophy (General),No,2007-05-03T11:18:37Z,2022-08-17T17:57:13Z,1129,2021-11-11T15:18:41Z
Revista de Ciencias Agrícolas,http://revistas.udenar.edu.co/index.php/rfacia/index,https://doaj.org/toc/c5e90a61f8484b37842ee4c0d1a60f2b,1969,,0120-0135,2256-2273,"agriculture, environment sciences","English, Spanish, Portuguese",Universidad de Nariño,Colombia,"Universidad de Nariño, Facultad de Ciencias Agrícolas",,CC BY-NC,,http://revistas.udenar.edu.co/index.php/rfacia/about/editorialPolicies#custom-11,Yes,http://revistas.udenar.edu.co/index.php/rfacia/article/view/3417,No,,Double blind peer review,http://revistas.udenar.edu.co/index.php/rfacia/about/editorialPolicies#custom-3,No,,http://revistas.udenar.edu.co/index.php/rfacia/about/editorialPolicies#custom-2,http://revistas.udenar.edu.co/index.php/rfacia/about/editorialTeam,http://revistas.udenar.edu.co/index.php/rfacia/about/submissions#authorGuidelines,36,No,http://revistas.udenar.edu.co/index.php/rfacia/about/editorialPolicies#custom-2,,Yes,https://drive.google.com/file/d/0B-VF_VgKiRpIUExxWk1JLWZ2VzA/view,No,http://revistas.udenar.edu.co/index.php/rfacia/about/editorialPolicies#custom-2,,,http://revistas.udenar.edu.co/index.php/rfacia/issue/archive,,,DOI,,,Yes,http://revistas.udenar.edu.co/index.php/rfacia/about/submissions#authorGuidelines,,,S|S1-972,Agriculture: Agriculture (General),No,2017-08-10T18:54:42Z,2017-11-08T13:47:52Z,169,2023-03-02T14:37:07Z
Boletín de Geología,http://revistas.uis.edu.co/index.php/revistaboletindegeologia,https://doaj.org/toc/d993bd0e40584779b43dd51fbc89bb52,2000,,0120-0283,2145-8553,geology,Spanish,Universidad Industrial de Santander,Colombia,,,CC BY,,http://revistas.uis.edu.co/index.php/revistaboletindegeologia/index,Yes,https://revistas.uis.edu.co/index.php/revistaboletindegeologia/article/view/9256/9065,No,,Blind peer review,https://revistas.uis.edu.co/index.php/revistaboletindegeologia/about,No,,https://revistas.uis.edu.co/index.php/revistaboletindegeologia/about,https://revistas.uis.edu.co/index.php/revistaboletindegeologia/about/editorialTeam,https://revistas.uis.edu.co/index.php/revistaboletindegeologia/about/submissions#authorGuidelines,15,No,http://revistas.uis.edu.co/public/journals/4/docs/Boletin_NormasEditoriales_esES.pdf,,No,,No,http://revistas.uis.edu.co/public/journals/4/docs/Boletin_NormasEditoriales_esES.pdf,,,,,,,,,Yes,https://revistas.uis.edu.co/index.php/revistaboletindegeologia/about,,,QE1-996.5,Science: Geology,No,2016-01-27T18:57:42Z,2019-03-13T16:14:14Z,0,
Boletín Científico CIOH,https://ojs.dimar.mil.co/index.php/CIOH,https://doaj.org/toc/350fdaf1424e4c3d89335a6a508b585e,1977,,0120-0542,2215-9045,"earth science, oceanography, hydrography, marine biology, coastal environment engineering, protection and management of coastal resources",Spanish,Dirección General Maritima,Colombia,Dirección General Maritima,,CC BY-NC-ND,,https://ojs.dimar.mil.co/index.php/CIOH/about,,,No,,Double blind peer review,https://ojs.dimar.mil.co/index.php/cioh/about/submissions,No,,https://ojs.dimar.mil.co/index.php/CIOH/about,https://ojs.dimar.mil.co/index.php/CIOH/about/editorialTeam,https://ojs.dimar.mil.co/index.php/cioh/about/submissions,12,No,https://ojs.dimar.mil.co/index.php/CIOH/about,,No,,No,https://ojs.dimar.mil.co/index.php/CIOH/about,,,,,,DOI,,,Yes,https://ojs.dimar.mil.co/index.php/CIOH/about,,,GE1-350|GC1-1581|QH540-549.5,Geography. Anthropology. Recreation: Environmental sciences | Geography. Anthropology. Recreation: Oceanography | Science: Biology (General): Ecology,No,2019-08-21T20:28:19Z,2019-08-30T10:04:27Z,349,2022-12-30T20:05:29Z
Revista Colombiana de Ciencias Pecuarias,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp,https://doaj.org/toc/2e411ea214a84bf4b19df16dffd93881,1996,,0120-0690,2256-2958,"animal science, veterinary medicine, animal health, animal production, farm animals, companion animals",English,Universidad de Antioquia,Colombia,Universidad de Antioquia,,CC BY-NC-SA,,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/index,,,No,,Double blind peer review,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/about/editorialPolicies#peerReviewProcess,Yes,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/about/editorialPolicies#custom-2,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/about/editorialPolicies#focusAndScope,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/about/editorialTeam,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/about/submissions#authorGuidelines,52,Yes,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/announcement/view/695,200 USD,No,,No,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/announcement/view/695,,,,,,,,,Yes,http://aprendeenlinea.udea.edu.co/revistas/index.php/rccp/about/editorialPolicies#openAccessPolicy,,,SF1-1100,Agriculture: Animal culture,No,2019-02-10T18:09:46Z,2019-08-30T10:03:55Z,785,2021-12-01T19:43:12Z
Colombia Forestal,http://revistas.udistrital.edu.co/ojs/index.php/colfor,https://doaj.org/toc/0da07f8a6edd442da56f4184638f5cbf,2000,,0120-0739,2256-201X,"silviculture, forest ecology, biodiversity, forest health",Spanish,Universidad Distrital Francisco Jose de Caldas,Colombia,,,CC BY-NC-ND,,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/submissions#copyrightNotice,,,Yes,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/submissions#copyrightNotice,Double blind peer review,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/editorialPolicies#peerReviewProcess,Yes,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/editorialPolicies#custom-1,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/editorialPolicies#focusAndScope,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/editorialTeam,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/submissions#authorGuidelines,20,No,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/editorialPolicies#custom-2,,No,,No,,,,,,,,,,Yes,http://revistas.udistrital.edu.co/ojs/index.php/colfor/about/editorialPolicies#openAccessPolicy,,,S|SD1-669.5,Agriculture: Forestry,No,2013-05-31T13:23:51Z,2022-08-17T18:03:26Z,195,2023-01-23T20:55:01Z
